id;nom;postnom;prenom;adresse;mail
1;1080p Shilling Strategist;Belize;visualize;Developer application deposit;Licensed
2;Plastic;generating;Dobra Regional Engineer;Sleek Fish;Senior Chair
3;pink;Ariary;circuit bandwidth;XSS Tactics;middleware override
4;Global Isle Avon;database applications Soap;RAM Music e-business;Ergonomic hybrid;Tasty frictionless
5;Profound Multi-lateral;JBOD;Liaison Account;Cliff;Configuration
6;local leverage quantifying;Analyst Chicken XSS;salmon invoice Gold;cross-platform;Buckinghamshire
7;EXE Ergonomic;USB Devolved;Checking reboot Health;neutral;grow Coordinator Grove
8;Fantastic;Fish Reunion;disintermediate state scalable;Decentralized Rubber;Avon Berkshire
9;Creative web-readiness Web;leading-edge Park;Car;Macao transmit;Cambridgeshire
10;Corners Tuna copying;back-end Graphic e-business;sky Strategist;drive Generic;International
