id;nom;postnom;prenom;nomcours;adresse;mail
1;Salad;Mouse area green;Liaison quantify alarm;Team-oriented Rubber leading-edge;SMTP;Avon Maryland Assistant
2;firewall Tactics Forward;content;Garden iterate;Parkways Licensed Facilitator;24/7 lavender;paradigms exuding
3;Infrastructure Ameliorated Gorgeous;South Fresh;mesh;Tactics logistical;Integration National Barbados;salmon
4;Communications initiative;Gloves;Wooden South;quantifying fault-tolerant;Sleek;Executive
5;data-warehouse;Public-key;Plastic;blue Keyboard;North Tuna;Peso
6;card;Viaduct National Illinois;Central transmitting Legacy;copy Steel Hawaii;Steel;Berkshire Idaho
7;national circuit Ball;array Mouse;Programmable;mobile Agent Clothing;Convertible;action-items
8;Maine withdrawal PCI;bandwidth Hat HTTP;deposit;Florida;distributed;challenge value-added
9;1080p Handcrafted;Configuration IB;expedite California;Avon;card;XML
10;Dollar Colombian;monitor Kansas JBOD;Pizza calculating Generic;Account Avon Research;matrix envisioneer;calculating Belgium content
